timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-09 07:50:56+00:00,1536.1409477761,-710.9634944124,-6616.7661862537,4.1285880458,-6.2064487887,1.6298275296,0.00646494,-0.124633277,-0.462433731,0.8778267455
2026-08-09 07:51:06+00:00,1577.3304942719,-772.9826396483,-6600.0552351726,4.1092128203,-6.197213956,1.7123130923,0.0038662935,-0.129550089,-0.4624495415,0.8771215695
2026-08-09 07:51:16+00:00,1618.3237284819,-834.9055808034,-6582.5204610089,4.0893250877,-6.1872072662,1.7945893358,0.001297403,-0.13444968,-0.46247425,0.876378439
2026-08-09 07:51:26+00:00,1659.1155330809,-896.7246022459,-6564.1640093675,4.0689272366,-6.1764298683,1.8766460842,-0.001268087,-0.1393141025,-0.4624723585,0.8756193755
2026-08-09 07:51:36+00:00,1699.7008086863,-958.4319909595,-6544.9881304915,4.0480217199,-6.1648830053,1.9584731732,-0.0038679595,-0.1442197445,-0.4624519985,0.8748278995
2026-08-09 07:51:46+00:00,1740.0745056477,-1020.0200733986,-6524.9951655418,4.0266110521,-6.1525680039,2.0400605018,-0.0064631615,-0.1491197885,-0.4624031855,0.8740164815
2026-08-09 07:51:56+00:00,1780.231581085,-1081.4811725898,-6504.1875643322,4.0046978069,-6.1394862916,2.1213979673,-0.0090173455,-0.153972507,-0.4623821565,0.8731631555
2026-08-09 07:52:06+00:00,1820.1670119921,-1142.8076169921,-6482.5678809147,3.9822846223,-6.12563939,2.202475482,-0.011612497,-0.1588393035,-0.4623188585,0.8722938145
2026-08-09 07:52:16+00:00,1859.8758269155,-1203.9917770407,-6460.1387583095,3.9593741961,-6.1110289034,2.2832830251,-0.0141669145,-0.1636908,-0.4622710715,0.871384001
2026-08-09 07:52:26+00:00,1899.3530629525,-1265.0260227669,-6436.902948185,3.9359692857,-6.0956565373,2.3638105774,-0.016796745,-0.1685973155,-0.4621447905,0.870468269
2026-08-09 07:52:36+00:00,1938.5937789908,-1325.9027324527,-6412.8633059456,3.9120727117,-6.079524091,2.4440481385,-0.0193443835,-0.1734460985,-0.4620509045,0.869512051
2026-08-09 07:52:46+00:00,1977.5930872447,-1386.6143288317,-6388.02277391,3.8876873532,-6.0626334458,2.5239857778,-0.0219470175,-0.178311555,-0.4619218825,0.8685341055
